Detector,Descriptor,Keypoints,Matches,Detector Time(ms),Descriptor Time(ms)
SIFT,BRIEF,148,76,48.7673,0.5066
SIFT,BRIEF,159,70,49.5571,0.5963
SIFT,BRIEF,137,88,49.5597,0.4915
SIFT,FREAK,132,65,48.3009,29.6963
SIFT,FREAK,124,72,47.2223,29.6545
SIFT,FREAK,138,65,49.2838,30.2603
SIFT,FREAK,134,67,50.4129,30.1862
SIFT,FREAK,140,59,48.98,31.3924
SIFT,FREAK,137,59,48.2781,29.882
SIFT,FREAK,148,64,49.5276,31.2999
SIFT,FREAK,159,65,49.1907,30.0754
SIFT,FREAK,137,79,49.5048,29.8935
SIFT,SIFT,132,82,40.0851,34.2109
SIFT,SIFT,124,81,39.3908,33.2927
SIFT,SIFT,138,86,39.3718,34.3335
SIFT,SIFT,134,93,40.6142,33.2532
SIFT,SIFT,140,90,39.8104,33.4952
SIFT,SIFT,137,81,41.8732,35.5329
SIFT,SIFT,148,83,41.9257,33.3661
SIFT,SIFT,159,103,44.8463,35.4322
SIFT,SIFT,137,105,40.7661,34.4773
